item,producto,proveedor,url,fecha_revision,precio_unitario_clp,unidad_compra,cantidad_usada,subtotal_clp,nivel_confianza,observacion
mallas_interiores,0.60x25 m malla 3/4 hexagonal galvanizada,Sodimac Chile,https://www.sodimac.cl/sodimac-cl/search?Ntt=malla%20gallinero,2026-07-06,36562,"rollo 0,6 x 25 m",2,73124,alto,SKU 292699; precio fuente trazable
mallas_interiores,1.2x50 m malla 3/4 hexagonal galvanizada,Sodimac Chile,https://www.sodimac.cl/sodimac-cl/search?Ntt=malla%20gallinero,2026-07-06,124738,"rollo 1,2 x 50 m",1,124738,alto,SKU 706523; precio fuente trazable
perchas_mallas,"Polín impregnado 75-100 mm x 2,44 m",Sodimac Chile,https://www.sodimac.cl/sodimac-cl/search?Ntt=polin%20impregnado%202x2,2026-07-06,4990,unidad,31,154690,alto,SKU 75577X; 31 unidades cubren aprox. 75 m lineales
almacenamiento,Estante Repisa Rack plástico 4 niveles Rimax,Sodimac Chile,https://www.sodimac.cl/sodimac-cl/articulo/116341305/Estante-Repisa-Rack-plastico-4-Niveles-91x45x145cm-Rimax/116341308,2026-07-06,55990,unidad,2,111980,alto,Precio JSON-LD; se agregan protección/roedores en escenario base
agua,Manguera 25 m Tramontina,Sodimac Chile,https://www.sodimac.cl/sodimac-cl/search?Ntt=manguera%20jardin%2025%20m,2026-07-06,43990,rollo 25 m,1,43990,medio,Referencia de distribución flexible
agua,Válvula bola 25 mm PVC,Sodimac Chile,https://www.sodimac.cl/sodimac-cl/search?Ntt=valvula%20bola%20pvc%2025%20mm,2026-07-06,6590,unidad,4,26360,alto,SKU 122610; referencia fittings
energia,Interruptor automático 10 A Lexo,Sodimac Chile,https://www.sodimac.cl/sodimac-cl/search?Ntt=interruptor%20automatico%2010a,2026-07-06,2290,unidad,2,4580,medio,Referencia protección eléctrica menor
energia,Pack 15 abrazaderas conduit 20 mm,Sodimac Chile,https://www.sodimac.cl/sodimac-cl/search?Ntt=tubo%20conduit%2020%20mm,2026-07-06,1287,pack 15,3,3861,medio,Referencia canalización/fijaciones
bebederos,Pack x10 bebedero nipple B-11,MercadoLibre Chile,https://articulo.mercadolibre.cl/MLC-1778401396-pack-x10-bebedero-goteo-nipple-b-11-para-gallina-amarillo-_JM,2026-07-06,,pack x10,6,,bajo,"Precio no recuperable; usar estimación interna, requiere cotización"
nidos_ponederos,"Ponedero galvanizado Copele 1,2 m cap. 100 gallinas",MercadoLibre Chile,https://articulo.mercadolibre.cl/MLC-1379188913-ponedero-galvanizado-copele-12m-capacidad-100-gallinas-_JM,2026-07-06,,unidad,5,,bajo,"Precio no recuperable; usar estimación interna, requiere cotización"
