mes,concepto,tipo,monto_clp,estado,observacion
1,ingresos,ingreso,,historico/referencial,meta 100 bandejas/semana como escenario base; validar precios netos/cobranza/estabilidad
1,alimento,costo,284900,referencia actual,base actual informada; no extrapolar directo a 648
1,agua,costo,6000,referencia actual,base actual informada; no extrapolar directo a 648
1,energia/panel solar,costo,300000,comprado/informado,panel solar $300.000 paquete completo informado; verificar operación en terreno
1,envases actuales,costo,12740,referencia actual,28 bandejas/semana x $105 x 52/12
1,medicamentos adicionales,costo,0,informado,$0 fuera de vitaminas; no elimina riesgo sanitario
1,viruta,costo,10000,referencia actual,base actual informada; no extrapolar directo a 648
1,bencina/reparto,costo,10000,referencia actual,6 repartos/mes; generalmente retiran
1,mano_obra,costo,,pendiente,operación a escala histórica/referencial
1,formalizacion,costo,,ruta/costo pendiente,boleta/factura intención confirmada si escala
1,capex,capex,,pendiente,escenario histórico/referencial no vigente
1,imprevistos,costo,,pendiente,mantenciones/sanitización/contingencia
